model,fpr,tpr
pbcm_gbm,0.5336008024072216,0.9299420347791325
pbcm_gbm,0.5551654964894684,0.935638616829902
pbcm_gbm,0.574222668004012,0.9411353188087148
pbcm_gbm,0.5972918756268807,0.9460323805716571
pbcm_gbm,0.6248746238716149,0.952328602838297
pbcm_gbm,0.6449348044132397,0.9567259644213472
pbcm_gbm,0.6670010030090271,0.9613232060763542
pbcm_gbm,0.6930792377131394,0.967819308414951
pbcm_gbm,0.7211634904714143,0.9728163102138717
pbcm_gbm,0.7482447342026078,0.9766140315810514
pbcm_gbm,0.7818455366098295,0.9810113931641016
pbcm_gbm,0.8119358074222668,0.984509294423346
pbcm_gbm,0.8430290872617854,0.9897061762942234
pbcm_gbm,0.8826479438314945,0.9930041974815111
pbcm_gbm,0.9162487462387161,0.9962022786328203
pbcm_gbm,0.966900702106319,0.9994003597841296
pbcm_plus_bureau,0.0,0.0
pbcm_plus_bureau,0.012036108324974924,0.20737557465520687
pbcm_plus_bureau,0.02457372116349047,0.30991405156905855
pbcm_plus_bureau,0.037111334002006016,0.3855686588047172
pbcm_plus_bureau,0.05015045135406219,0.44703178093144114
pbcm_plus_bureau,0.06318956870611836,0.4813112132720368
pbcm_plus_bureau,0.07723169508525576,0.5164901059364382
pbcm_plus_bureau,0.09027081243731194,0.5555666600039976
pbcm_plus_bureau,0.10431293881644935,0.5809514291425145
pbcm_plus_bureau,0.11735205616850551,0.6075354787127724
pbcm_plus_bureau,0.13089267803410232,0.6282230661603038
pbcm_plus_bureau,0.1444332998996991,0.657305616630022
pbcm_plus_bureau,0.1584754262788365,0.6815910453727764
pbcm_plus_bureau,0.17502507522567703,0.6959824105536678
pbcm_plus_bureau,0.19107321965897692,0.7240655606636018
pbcm_plus_bureau,0.20561685055165496,0.7383569858085149
pbcm_plus_bureau,0.21915747241725175,0.7539476314211473
pbcm_plus_bureau,0.2342026078234704,0.768638816709974
pbcm_plus_bureau,0.2512537612838516,0.7895262842294624
pbcm_plus_bureau,0.2668004012036108,0.8014191485108935
pbcm_plus_bureau,0.2823470411233701,0.8146112332600439
pbcm_plus_bureau,0.2978936810431294,0.8276034379372377
pbcm_plus_bureau,0.31293881644934807,0.8407955226863881
pbcm_plus_bureau,0.3279839518555667,0.8516889866080352
pbcm_plus_bureau,0.34453360080240725,0.8635818508894664
pbcm_plus_bureau,0.3600802407221665,0.8715770537677393
pbcm_plus_bureau,0.3781344032096289,0.8789726164301419
pbcm_plus_bureau,0.3936810431293882,0.887467519488307
pbcm_plus_bureau,0.4102306920762287,0.8930641615030981
pbcm_plus_bureau,0.4272818455366098,0.8992604437337598
pbcm_plus_bureau,0.4463390170511535,0.9059564261443134
pbcm_plus_bureau,0.4684052156469408,0.9124525284829103
pbcm_plus_bureau,0.4884653961885657,0.9195482710373776
pbcm_plus_bureau,0.5095285857572718,0.9241455126923845
pbcm_plus_bureau,0.5285857572718154,0.9285428742754347
pbcm_plus_bureau,0.5481444332998997,0.9334399360383769
pbcm_plus_bureau,0.5722166499498496,0.9395362782330602
pbcm_plus_bureau,0.5957873620862588,0.9445332800319808
pbcm_plus_bureau,0.6153460381143431,0.9502298620827504
pbcm_plus_bureau,0.633901705115346,0.9548271037377574
pbcm_plus_bureau,0.660481444332999,0.9601239256446132
pbcm_plus_bureau,0.6825476429287863,0.9659204477313612
pbcm_plus_bureau,0.7121364092276831,0.9695182890265841
pbcm_plus_bureau,0.7452357071213641,0.9752148710773536
pbcm_plus_bureau,0.7763289869608826,0.9805116929842095
pbcm_plus_bureau,0.804914744232698,0.984509294423346
pbcm_plus_bureau,0.8350050150451354,0.9880071956825904
pbcm_plus_bureau,0.8691073219658977,0.9918049170497701
pbcm_plus_bureau,0.9022066198595787,0.9951029382370578
pbcm_plus_bureau,0.9468405215646941,0.9984009594243454
